1.0, 2.7487590037436385e9
2.0, 3.041893832699521e13
3.0, 3.3657221487536435e17
4.0, 3.7240180144086125e21
5.0, 4.120455981642538e25
6.0, 4.559096499669104e29
7.0, 5.0444322147523096e33
8.0, 5.581434034370059e37
9.0, 6.175602040784694e41
10.0, 6.833021824013815e45
11.0, 7.560426811685626e49
12.0, 8.365267234179306e53
13.0, 9.255786431405469e57
14.0, 1.024110528277635e62
15.0, 1.133131562511472e66
16.0, 1.2537583615306837e70
17.0, 1.387226409636075e74
18.0, 1.534902713823055e78
19.0, 1.6982998049463566e82
20.0, 1.879091229369816e86
