1.0, 7.449968782480405e10
2.0, 8.251283628757531e14
3.0, 9.129756620476367e18
4.0, 1.0101659974679717e23
5.0, 1.1177025765274958e27
6.0, 1.2366868926777124e31
7.0, 1.3683376084359193e35
8.0, 1.5140031173176897e39
9.0, 1.675175355201842e43
10.0, 1.85350508105115e47
11.0, 2.0508187843227244e51
12.0, 2.2691373922459022e55
13.0, 2.5106969685714914e59
14.0, 2.7779716157931828e63
15.0, 3.0736988154103627e67
16.0, 3.4009074657724797e71
17.0, 3.7629489046742586e75
18.0, 4.163531234441554e79
19.0, 4.606757301072371e83
20.0, 5.097166716423127e87
